set,start,level_m,agent,model,base_mass,noise,explore,seed,d0,final_err,min_err,t_end,converged,failed,success50,settle_t,frac_softzone_J2,frac_softzone_J4,frac_softzone_J6,qmax_deg_J2,qmax_deg_J4,qmax_deg_J6,frac_atlim,frac_beyond_hw,ori_max,ret
rand2_free650,OOD,NaN,rand2,SK_point,650,0,0,0,1.42565007995499,0.0251259986919515,0.0117170018975602,25,0,0,1,11.98,0,0,0,90,89.0252685449514,40.9617018390536,0.0423661071143086,0,0.0615388400716238,-3060.17238412388
tab7_stoch_650kg,OOD,NaN,rand2,SK_point,650,0,1,1,1.42565007995499,0.0486985985245813,0.0455158732222207,25,0,0,1,24.86,0,0,0,90,84.538246441571,21.2059456588517,0.192645883293365,0,0.0578052892406458,-7721.81738458433
tab7_stoch_650kg,OOD,NaN,rand2,SK_point,650,0,1,2,1.42565007995499,0.0627084696020667,0.0379380634776897,25,0,0,0,NaN,0,0,0,90.4963220360022,86.361954575828,31.6997206674863,0.195043964828137,0,0.0593056391274725,-8016.39428776775
tab7_stoch_650kg,OOD,NaN,rand2,SK_point,650,0,1,3,1.42565007995499,0.015206826279485,0.00324816317239628,25,0,0,1,13.34,0,0,0,90,96.0926475576622,92.3865323933835,0,0,0.0589542227304141,-7646.55850515696
tab7_stoch_650kg,OOD,NaN,rand2,SK_point,650,0,1,4,1.42565007995499,0.0375410746118743,0.0209369086196961,25,0,0,1,13.9,0,0,0,90,86.3011070366084,46.7221513654435,0.0543565147881695,0,0.0607418971585953,-6946.62138573706
tab7_stoch_650kg,OOD,NaN,rand2,SK_point,650,0,1,5,1.42565007995499,0.0293818949124174,0.0250111997809716,25,0,0,1,19.56,0,0,0,90,96.732703264445,57.5152724869008,0,0,0.0552194847538554,-10608.0654812678
tab7_stoch_650kg,OOD,NaN,rand2,SK_point,650,0,1,6,1.42565007995499,0.0335942293477899,0.00616059777377996,25,0,0,1,22.36,0,0,0.280575539568345,90,100.942828098448,115.164516821295,0.104716227018385,0,0.0588235141646343,-8036.15526898961
tab7_stoch_650kg,OOD,NaN,rand2,SK_point,650,0,1,7,1.42565007995499,0.0338930542944531,0.0265714330985235,25,0,0,1,15,0,0,0,90,88.43452739005,25.1370932763256,0.151079136690647,0,0.0617767322040255,-7871.98760486299
tab7_stoch_650kg,OOD,NaN,rand2,SK_point,650,0,1,8,1.42565007995499,0.0328041913733575,0.0269679493495093,25,0,0,1,14.42,0,0,0,90,83.464841200654,33.554264315512,0.211830535571543,0,0.0576149744053921,-6994.81163797129
tab7_stoch_650kg,OOD,NaN,rand2,SK_point,650,0,1,9,1.42565007995499,0.0232148569127081,0.00524980128125591,25,0,0,1,15.16,0,0,0,90,86.6444449175689,37.9163800531228,0,0,0.0590080925560317,-7367.10146442448
tab7_stoch_650kg,OOD,NaN,rand2,SK_point,650,0,1,10,1.42565007995499,0.0529227150442997,0.0271698343330815,25,0,0,0,NaN,0,0,0,90.4512618754638,84.0569425729814,19.2290874237005,0.266986410871303,0,0.0582152609817406,-7740.77300429138
tab7_stoch_650kg,OOD,NaN,rand2,SK_point,650,0,1,11,1.42565007995499,0.0344095039571598,0.0163704451414458,25,0,0,1,14.16,0,0,0,90.2800044744793,88.4738823595444,35.1651746818182,0.0807354116706635,0,0.0610606371191202,-7362.63614071519
tab7_stoch_650kg,OOD,NaN,rand2,SK_point,650,0,1,12,1.42565007995499,0.0167855295738098,0.00873759004590727,25,0,0,1,13.4,0,0,0,90,89.0402944166413,45.7595693069401,0,0,0.0580744010582035,-6153.59311935191
tab7_stoch_650kg,OOD,NaN,rand2,SK_point,650,0,1,13,1.42565007995499,0.0585438638465455,0.041371689488308,25,0,0,0,NaN,0,0,0,90.1574606027302,82.5221967077994,9.42072783173686,0.411670663469225,0,0.0580516642320127,-7504.66270572678
tab7_stoch_650kg,OOD,NaN,rand2,SK_point,650,0,1,14,1.42565007995499,0.0617994314987552,0.0129285905501911,25,0,0,0,NaN,0,0,0,90,87.3064911784146,40.2920383415419,0.0255795363709033,0,0.0603516886761111,-7687.08308445289
tab7_stoch_650kg,OOD,NaN,rand2,SK_point,650,0,1,15,1.42565007995499,0.0514821866102823,0.00959228304740529,25,0,0,0,NaN,0,0,0,90.6139990515831,93.1696917204229,52.741213994256,0,0,0.0567908033228631,-7805.52743268475
