cond,seed,agent,explore,K1_mse,K2_max,K3_ori_mean,K7_return,completed,stop_reason
mass25,3,Trajectory,1,0.00758133655404558,0.234778142549688,0.00587161645719548,1326.29736758813,1,none
mass25,4,Trajectory,1,0.00759274517810053,0.234711419897885,0.00593725182487258,1328.09880490128,1,none
mass25,5,Trajectory,1,0.00760987959489347,0.234891884524481,0.00566525281923233,1329.96107748806,1,none
mass25,6,Trajectory,1,0.00758529524257699,0.23459432682298,0.0058215420305299,1349.14699879627,1,none
mass25,7,Trajectory,1,0.00758206662090392,0.234708595959565,0.00594222030665059,1330.12609290175,1,none
mass25,8,Trajectory,1,0.00761186411000056,0.234967556846728,0.00585133284069108,1333.08727735937,1,none
mass25,9,Trajectory,1,0.00758810542071575,0.234740998030669,0.0059143443879517,1337.16306674802,1,none
mass25,10,Trajectory,1,0.0075538417824476,0.234311700853694,0.00597058288567441,1330.42285876772,1,none
combined,0,Trajectory,0,0.00760555947172482,0.234904749497459,0.00615243639975293,1300.47549520995,1,none
combined,1,Trajectory,1,0.00764641595593693,0.235467663342876,0.00619640382484029,1263.61930102558,1,none
combined,2,Trajectory,1,0.00761039537756284,0.235110331438813,0.00631085607199386,1283.63200276838,1,none
combined,3,Trajectory,1,0.00761037508072568,0.234999744390769,0.00616475576008235,1252.84890856895,1,none
combined,4,Trajectory,1,0.00761091215532695,0.234901857685139,0.00620484254694151,1305.8274488808,1,none
combined,5,Trajectory,1,0.00763218362296223,0.235224408788932,0.00595552654370493,1288.65202947616,1,none
combined,6,Trajectory,1,0.00761586826518255,0.234989859590801,0.00618258021014563,1267.66836223137,1,none
combined,7,Trajectory,1,0.00760402525771186,0.234894445524202,0.00620652968313737,1304.8490999449,1,none
combined,8,Trajectory,1,0.00763293224297601,0.235274769976527,0.00615233279876285,1295.79776397626,1,none
combined,9,Trajectory,1,0.0076135732042608,0.235042911454346,0.00623217302590798,1273.79469926886,1,none
combined,10,Trajectory,1,0.00757949266156147,0.234660997767915,0.00626330908164604,1275.04738228513,1,none
mass25,0,Trajectory2,0,0.00471980894448015,0.185979037295229,0.0181775453439668,999.377057166503,1,none
mass25,1,Trajectory2,1,0.00484520760879451,0.186396792293017,0.0178948562622181,921.457163715024,1,none
mass25,2,Trajectory2,1,0.00475045780893174,0.184538887402613,0.0183592910114456,895.911269238388,1,none
mass25,3,Trajectory2,1,0.00472013492900154,0.185225160874386,0.0183000468788441,913.178131000516,1,none
mass25,4,Trajectory2,1,0.00471379556924472,0.185488065568337,0.0182481147615748,988.1878929405,1,none
mass25,5,Trajectory2,1,0.00483237789345628,0.186626157782285,0.0177487456707571,973.618812572098,1,none
mass25,6,Trajectory2,1,0.00479737878807526,0.185920376503335,0.0180626057907942,993.759981089902,1,none
mass25,7,Trajectory2,1,0.00472634914280665,0.18414421566958,0.0183845755319397,958.190196021835,1,none
mass25,8,Trajectory2,1,0.00477094473087651,0.18573750512444,0.018069416803008,959.93334008268,1,none
mass25,9,Trajectory2,1,0.00467890486603491,0.18536370731894,0.0182926556474961,979.409186793034,1,none
mass25,10,Trajectory2,1,0.0045865527035319,0.183660710041027,0.018809501653941,965.941941265442,1,none
combined,0,Trajectory2,0,0.00478971358455858,0.186369034595626,0.0182141729100841,818.646161825993,1,none
combined,1,Trajectory2,1,0.00492128405456126,0.187141305763386,0.017954330553704,661.654645249785,1,none
combined,2,Trajectory2,1,0.0048281871571286,0.184607994935085,0.0184076899534878,571.179788122629,1,none
combined,3,Trajectory2,1,0.00479313300016396,0.185383743549777,0.0183672690944843,739.482262306931,1,none
combined,4,Trajectory2,1,0.00478265326234099,0.185634618605169,0.0183082289707659,822.507552322838,1,none
combined,5,Trajectory2,1,0.00491198418107172,0.186863928725007,0.0177840664601513,664.794400651476,1,none
combined,6,Trajectory2,1,0.00487574888464365,0.186469864519463,0.0181259018800536,777.941476201152,1,none
combined,7,Trajectory2,1,0.00479987285774995,0.184397280835584,0.0184579905221804,781.509867469207,1,none
combined,8,Trajectory2,1,0.00484523881548055,0.186175253161251,0.0181051430582244,758.164483856185,1,none
combined,9,Trajectory2,1,0.00475946298188066,0.18515703272254,0.018379466691313,745.462768571745,1,none
combined,10,Trajectory2,1,0.00465265272554893,0.184111276760954,0.0188801637866535,840.294960357665,1,none
mass25,0,Mass_inertia,0,0.00472724983124514,0.187463509360232,0.00996137960915387,1391.31837678199,1,none
mass25,1,Mass_inertia,1,0.00499628464409022,0.190179358218315,0.00972460405175297,1328.95815175825,1,none
mass25,2,Mass_inertia,1,0.00467531389926197,0.184790588297062,0.0100368150633877,1222.59408129377,1,none
mass25,3,Mass_inertia,1,0.00484950964383737,0.189945110596988,0.00999319770906024,1269.6527172064,1,none
mass25,4,Mass_inertia,1,0.00488509283050801,0.189349445630857,0.0101285474363236,1305.0350848592,1,none
mass25,5,Mass_inertia,1,0.0049342555538239,0.189775245892532,0.00911852487157598,1261.90588567504,1,none
mass25,6,Mass_inertia,1,0.00490968910913265,0.189997470529635,0.00989703951323383,1308.94167209517,1,none
mass25,7,Mass_inertia,1,0.00486266802723528,0.191103776502478,0.0102196874617915,1286.1960286454,1,none
mass25,8,Mass_inertia,1,0.00485791507359371,0.188295405038891,0.00965676806690367,1305.88777770046,1,none
mass25,9,Mass_inertia,1,0.00475814425174765,0.189113766451243,0.0100944889736279,1266.93148875145,1,none
mass25,10,Mass_inertia,1,0.00459175710377045,0.184891613641468,0.0102885226063828,1267.73369812631,1,none
combined,0,Mass_inertia,0,0.00480780625488011,0.188589495948943,0.010133468193131,1320.69636066109,1,none
combined,1,Mass_inertia,1,0.0051012545543982,0.192115862211251,0.0100248479337714,1088.19135860366,1,none
combined,2,Mass_inertia,1,0.00475540221518993,0.185486959900972,0.0101572530847032,1083.87274414552,1,none
combined,3,Mass_inertia,1,0.00492117150176507,0.190816339417427,0.0101102243359638,1169.13941801719,1,none
combined,4,Mass_inertia,1,0.00493761659948602,0.189542237744235,0.0106359066286899,1169.26163988709,1,none
combined,5,Mass_inertia,1,0.00503736208138017,0.191042744157394,0.00906583169887469,1052.48652651226,1,none
combined,6,Mass_inertia,1,0.00500115375446989,0.191184643408135,0.0103433341311493,1101.35117291053,1,none
combined,7,Mass_inertia,1,0.00496848439277641,0.192299395415828,0.0104443889330511,1075.65086206267,1,none
combined,8,Mass_inertia,1,0.00491522256142023,0.18907418123304,0.00978087522349248,1250.466635572,1,none
combined,9,Mass_inertia,1,0.00483529946133509,0.189803520149087,0.0104892313347781,1155.07577125668,1,none
combined,10,Mass_inertia,1,0.00467826357220246,0.186491270226838,0.0103882719495093,1137.49997468256,1,none
mass25,0,Actuator_delay,0,0.00724338121673537,0.228035861315545,0.00729439577452435,1385.45657945912,1,none
mass25,1,Actuator_delay,1,0.00958994700837936,0.255512136177656,0.0100402535461355,1097.6532464576,1,none
mass25,2,Actuator_delay,1,0.00820205543578196,0.23836883539514,0.00680010419688181,1069.98151850584,1,none
mass25,3,Actuator_delay,1,0.00791522729083142,0.23992054649878,0.00891825307294034,1029.63425836795,1,none
mass25,4,Actuator_delay,1,0.00832087564833547,0.240558496247795,0.00850894721174348,1050.3343196818,1,none
mass25,5,Actuator_delay,1,0.0094715443941966,0.255202100248297,0.00825738642281928,1009.22215223794,1,none
