SpaceKinova eingerichtet: C:\Users\Deermste\Documents\FraUas\BachelorThesis\Matlab
Starting parallel pool (parpool) using the 'Processes' profile ...
Preserving jobs with IDs: 2 because they contain crash dump files.
You can use 'delete(myCluster.Jobs)' to remove all jobs created with profile Processes. To create 'myCluster' use 'myCluster = parcluster('Processes')'.
Connected to parallel pool with 8 workers.
D10: 40 Hz, Seed 0, 1000 Episoden, 8 Worker, Solver 0.005 s
Episode: 116/1000 | Episode reward:    38.21 | Episode steps:  340 | Average reward:  -234.92 | Step Count: 38450 | Episode Q0:    58.85
Episode: 117/1000 | Episode reward:  -272.34 | Episode steps:  320 | Average reward:  -233.19 | Step Count: 38770 | Episode Q0:    61.12
Episode: 118/1000 | Episode reward:   -35.67 | Episode steps:  325 | Average reward:  -225.89 | Step Count: 39095 | Episode Q0:    61.12
Episode: 119/1000 | Episode reward:  -138.05 | Episode steps:  276 | Average reward:  -222.48 | Step Count: 39371 | Episode Q0:    61.12
Episode: 120/1000 | Episode reward:  -230.83 | Episode steps:  340 | Average reward:  -219.76 | Step Count: 39711 | Episode Q0:    61.12
Episode: 121/1000 | Episode reward:  -148.27 | Episode steps:  230 | Average reward:  -211.89 | Step Count: 39941 | Episode Q0:    61.12
Episode: 122/1000 | Episode reward:  -455.93 | Episode steps:  327 | Average reward:  -219.77 | Step Count: 40268 | Episode Q0:    61.12
Episode: 123/1000 | Episode reward:  -222.51 | Episode steps:  264 | Average reward:  -223.51 | Step Count: 40532 | Episode Q0:    61.12
Episode: 124/1000 | Episode reward:  -200.08 | Episode steps:  278 | Average reward:  -222.68 | Step Count: 40810 | Episode Q0:    66.26
Episode: 125/1000 | Episode reward:  -318.40 | Episode steps:  318 | Average reward:  -223.03 | Step Count: 41128 | Episode Q0:    66.26
Episode: 126/1000 | Episode reward:  -147.83 | Episode steps:  294 | Average reward:  -214.25 | Step Count: 41422 | Episode Q0:    66.26
Episode: 127/1000 | Episode reward:  -188.66 | Episode steps:  300 | Average reward:  -214.13 | Step Count: 41722 | Episode Q0:    66.26
Episode: 128/1000 | Episode reward:  -221.82 | Episode steps:  318 | Average reward:  -221.03 | Step Count: 42040 | Episode Q0:    66.26
Episode: 129/1000 | Episode reward:  -269.45 | Episode steps:  329 | Average reward:  -218.01 | Step Count: 42369 | Episode Q0:    66.26
Episode: 130/1000 | Episode reward:  -190.03 | Episode steps:  336 | Average reward:  -215.94 | Step Count: 42705 | Episode Q0:    66.26
Episode: 131/1000 | Episode reward:  -306.10 | Episode steps:  300 | Average reward:  -214.49 | Step Count: 43005 | Episode Q0:    69.68
Episode: 132/1000 | Episode reward:  -196.04 | Episode steps:  340 | Average reward:  -218.11 | Step Count: 43345 | Episode Q0:    69.68
Episode: 133/1000 | Episode reward:  -130.19 | Episode steps:  321 | Average reward:  -213.35 | Step Count: 43666 | Episode Q0:    69.68
Episode: 134/1000 | Episode reward:  -302.26 | Episode steps:  304 | Average reward:  -217.37 | Step Count: 43970 | Episode Q0:    69.68
Episode: 135/1000 | Episode reward:  -241.84 | Episode steps:  302 | Average reward:  -222.55 | Step Count: 44272 | Episode Q0:    69.68
Episode: 136/1000 | Episode reward:  -130.33 | Episode steps:  279 | Average reward:  -216.55 | Step Count: 44551 | Episode Q0:    69.68
Episode: 137/1000 | Episode reward:   -68.32 | Episode steps:  312 | Average reward:  -206.44 | Step Count: 44863 | Episode Q0:    69.68
Episode: 138/1000 | Episode reward:  -239.35 | Episode steps:  270 | Average reward:  -198.40 | Step Count: 45133 | Episode Q0:    91.65
Episode: 139/1000 | Episode reward:  -340.43 | Episode steps:  306 | Average reward:  -205.53 | Step Count: 45439 | Episode Q0:    91.65
Episode: 140/1000 | Episode reward:  -203.76 | Episode steps:  270 | Average reward:  -206.41 | Step Count: 45709 | Episode Q0:    91.65
